staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
10,1,7.0,31.30986750000011,,31.30351854199762,31.30986750000011,31.800283499997022,31.800283499997022,31.800283499997022,32.09389083299902,32.24710341699756,left,-7.0,1,1,0.4379749580002681,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
11,1,6.0,32.2528582499981,,32.24726870799714,32.2528582499981,32.74331233299745,32.74331233299745,32.74331233299745,33.03261733299951,33.153460957997595,left,-6.0,1,1,0.4088459579979826,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
12,1,6.0,33.16026774999773,,33.153620166998735,33.16026774999773,33.65010454199728,33.65010454199728,33.65010454199728,33.94389550000051,34.36405712499982,right,6.0,1,1,0.7030908749984519,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
13,1,6.0,34.370072041998355,,34.36422004199994,34.370072041998355,34.8605972080004,34.8605972080004,34.8605972080004,35.14934629199706,35.485976166997716,right,6.0,1,1,0.621514374997787,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
14,1,5.0,35.49326987499808,,35.486139582997566,35.49326987499808,35.98406220799734,35.98406220799734,35.98406220799734,36.27717141699759,36.91956391699932,left,-5.0,1,1,0.9290642919986567,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
15,1,5.0,36.92658245799976,,36.919728249999025,36.92658245799976,37.41686495799877,37.41686495799877,37.41686495799877,37.71061812499829,37.86369716699846,left,-5.0,1,1,0.4383665839995956,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
16,1,5.0,37.869666874998074,,37.86386212499929,37.869666874998074,38.36062300000049,38.36062300000049,38.36062300000049,38.6501489580005,38.76993025000047,left,-5.0,1,1,0.40455329199903645,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
17,1,4.0,38.77662729199801,,38.770092541999475,38.77662729199801,39.26690124999732,39.26690124999732,39.26690124999732,39.56062912500056,39.71413399999801,left,-4.0,1,1,0.43636508399868035,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
18,1,4.0,39.720176041999366,,39.71429495799748,39.720176041999366,40.21072774999993,40.21072774999993,40.21072774999993,40.49966087499706,40.70332745799897,right,4.0,1,1,0.4903963750002731,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
19,1,4.0,40.71041420799884,,40.70348712499981,40.71041420799884,41.200359541999205,41.200359541999205,41.200359541999205,41.49390954199771,41.84767879199717,right,4.0,1,1,0.6409545420028735,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
20,1,3.0,41.85359591700035,,41.84783999999854,41.85359591700035,42.34392870800002,42.34392870800002,42.34392870800002,42.63318620800055,42.852958249997755,right,3.0,1,1,0.5063397079975402,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
21,1,3.0,42.86048283299897,,42.85311937499864,42.86048283299897,43.35104354199939,43.35104354199939,43.35104354199939,43.64414791699892,43.7809424579973,left,-3.0,1,1,0.42221420900023077,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
22,1,3.0,43.786855708000076,,43.78110195800036,43.786855708000076,44.277399499998864,44.277399499998864,44.277399499998864,44.566657291998126,44.897567124997295,left,-3.0,1,1,0.6109107499978563,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
23,1,2.0,44.9033720419975,,44.89772649999941,44.9033720419975,45.393896207999205,45.393896207999205,45.393896207999205,45.683737957999256,45.819991458000004,right,2.0,1,1,0.42131612499724724,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
24,1,2.0,45.82678908299931,,45.8201623749992,45.82678908299931,46.317138957998395,46.317138957998395,46.317138957998395,46.61088491699775,46.74743758299883,right,2.0,1,1,0.42524074999892036,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
25,1,2.0,46.7511705830002,,46.74760412499745,46.7511705830002,47.24413820799964,47.24413820799964,47.24413820799964,47.53349183299724,47.74741345799703,right,2.0,1,1,0.5010036250023404,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
26,1,1.0,47.75131983299798,,47.74759791699762,47.75131983299798,48.24396245800017,48.24396245800017,48.24396245800017,48.53377941699728,48.76967341699856,right,1.0,1,1,0.5222952499971143,pilot,001,2025-09-03_18h32.01.961,adaptive_staircase,,2025.1.1,None,2025-09-03 18h32.05.014341 +0530,
