prime_type,prime,target_full,target_fragment,SOA,correct_response,delay,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,mouse.started,prime_text.started,submit_text.started,textbox.started,polygon.stopped,fragment_text.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,trials.textbox.text,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
unrelated ,shirt,aquatic ,a_u_t_c,0.4,aquatic,0.9,25,25,0,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[24.696305749937892],['submit_text'],akutuck,0,25,25,78,304.7201981251128,,304.7144596250728,304.7201981251128,0.0032938749063760042,305.2175951669924,305.2175951669924,305.2175951669924,305.229840666987,305.60257183294743,329.4111098330468,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[24.696305749937892],['submit_text'],akutuck,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
unrelated ,river,call,c__l,0.4,call,0.9,26,26,0,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[6.16738933394663],['submit_text'],cool,0,26,26,66,329.41982670803554,,329.41431774990633,329.41982670803554,0.003077457891777158,329.9113242079038,329.9113242079038,329.9113242079038,329.92354962509125,330.3199501670897,335.5821591250133,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[6.16738933394663],['submit_text'],cool,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
unrelated ,sandwich ,games,g_m_s,0.4,games,0.9,27,27,0,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[19.109036957845092],['submit_text'],gems,0,27,27,62,335.59386591706425,,335.58771037496626,335.59386591706425,0.005371541948989034,336.088960708119,336.088960708119,336.088960708119,336.10310629196465,336.49589729192667,354.6971995830536,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[19.109036957845092],['submit_text'],gems,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
related ,butter,bread ,b_e_d,0.4,bread,0.9,28,28,0,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[0],[0],[0],[6.73905475018546],['submit_text'],bread,0,28,28,21,354.70733825000934,,354.7011270830408,354.70733825000934,0.0038107919972389936,355.2041145421099,355.2041145421099,355.2041145421099,355.2167025420349,355.59616299998015,361.4405939169228,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[0],[0],[0],[6.73905475018546],['submit_text'],bread,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
related ,snow,winter,w_n__r,0.1,winter,0.6,29,29,0,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[8.533619417110458],['submit_text'],winter,0,29,29,10,361.4512889171019,,361.44551666709594,361.4512889171019,0.00478387507610023,361.9427659579087,361.9427659579087,361.9427659579087,361.97066162503324,362.0414090419654,369.9795442079194,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[8.533619417110458],['submit_text'],winter,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
unrelated ,planet,bottle,b__t_e,0.1,bottle,0.6,30,30,0,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[4.805451458087191],['submit_text'],bottle,0,30,30,61,370.0041841669008,,369.9829488750547,370.0041841669008,0.0032622909639030695,370.47668375005014,370.47668375005014,370.47668375005014,370.52094954205677,370.57331479201093,374.7887705420144,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[4.805451458087191],['submit_text'],bottle,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
unrelated ,interview,dollar,d_l_a_,0.1,dollar,0.6,31,31,0,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[7.855371250072494],['submit_text'],dallas,0,31,31,71,374.7998182079755,,374.7932840830181,374.7998182079755,0.004377624951303005,375.2931682500057,375.2931682500057,375.2931682500057,375.32084562489763,375.3905492920894,382.649126958102,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[7.855371250072494],['submit_text'],dallas,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
related ,bed,pillow,p_l_ow,0.1,pillow,0.6,32,32,0,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[5.3361482080072165],['submit_text'],pillow,0,32,32,44,382.658288750099,,382.6531570830848,382.658288750099,0.0039015000220388174,383.1574669170659,383.1574669170659,383.1574669170659,383.1704062919598,383.24649479193613,387.98970749997534,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[5.3361482080072165],['submit_text'],pillow,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
unrelated ,missile,roses,r_s_s,0.4,roses,0.9,33,33,0,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[4.878077457891777],['submit_text'],russia,0,33,33,84,388.0043026669882,,387.9941178751178,388.0043026669882,0.004290167009457946,388.49242462497205,388.49242462497205,388.49242462497205,388.5037793330848,388.90486895805225,392.87259670789354,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[4.878077457891777],['submit_text'],russia,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
unrelated ,eye,economics,ec__o_i_s,0.1,economics,0.6,34,34,0,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[12.006652500014752],['submit_text'],ecosystem,0,34,34,95,392.8833689170424,,392.8767840829678,392.8833689170424,0.0040750408079475164,393.4046107919421,393.4046107919421,393.4046107919421,393.4046107919421,393.47417712491006,404.8839725831058,[np.float64(0.0011111111111111111)],[np.float64(-0.4088888888888889)],[1],[0],[0],[12.006652500014752],['submit_text'],ecosystem,P3,001,2025-11-14_16h19.33.988,untitled,,2025.1.1,118.97337829754264,2025-11-14 16h19.44.050104 +0530,
