delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.4,1000,exp,231,3,19,space,0.6029759990051389,None,970,1,[2.6851332500809804],[2.6851373329991475],19,3,231,10,3795.568761082948,,3795.5609666249948,3795.568761082948,3796.552733874996,3796.552733874996,3796.560152040911,3797.160805707914,space,0.6029759990051389,None,3797.1621489999816,3797.570538541597,3797.8752676249715,3797.8597011249512,3797.862179040909,3797.8752676249715,3797.8752676249715,3797.8752676249715,3800.5606866659364,970,1,[2.6851332500809804],[2.6851373329991475],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
0.4,1000,exp,232,4,19,space,0.902939124032855,None,960,1,[4.001354250009172],[4.00135916704312],19,4,232,7,3800.568401540979,,3800.5608870829456,3800.568401540979,3801.559795915964,3801.559795915964,3801.559795915964,3802.470235165907,space,0.902939124032855,None,3802.4705976659898,3802.8693488746108,3803.1751692499965,3803.1589873329503,3803.161069665919,3803.1751692499965,3803.1751692499965,3803.1751692499965,3807.176851457916,960,1,[4.001354250009172],[4.00135916704312],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
0.1,1000,exp,233,5,19,space,0.864317124010995,None,950,1,[3.4865392500068992],[3.4865433329250664],19,5,233,6,3807.185063874931,,3807.1770599579904,3807.185063874931,3808.169190290966,3808.169190290966,3808.1752380409744,3809.037478415994,space,0.864317124010995,None,3809.038892790908,3809.1427262495895,3809.4571977499872,3809.4423412079923,3809.4443909579422,3809.4571977499872,3809.4571977499872,3809.4571977499872,3812.9440266249003,950,1,[3.4865392500068992],[3.4865433329250664],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
0.4,1000,exp,234,6,19,space,0.6266586240381002,None,940,1,[2.4141574170207605],[2.4141610839869827],19,6,234,4,3812.951882082969,,3812.944228874985,3812.951882082969,3813.942888499936,3813.942888499936,3813.942888499936,3814.5711820829893,space,0.6266586240381002,None,3814.572874124977,3814.976614749587,3815.27952420793,3815.2657399158925,3815.2675080829067,3815.27952420793,3815.27952420793,3815.27952420793,3817.6939620409394,940,1,[2.4141574170207605],[2.4141610839869827],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
0.7,400,unexp,235,7,19,space,1.313170081935823,None,410,1,[4.647696583066136],[4.647701583104208],19,7,235,2,3817.7018327079713,,3817.694166790927,3817.7018327079713,3818.686269290978,3818.686269290978,3818.6936029159697,3820.0043358328985,space,1.313170081935823,None,3820.0057104579173,3820.7096299576265,3821.0122544999467,3820.9987917079125,3821.0006089579547,3821.0122544999467,3821.0122544999467,3821.0122544999467,3825.6602521250024,410,1,[4.647696583066136],[4.647701583104208],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
0.7,1000,exp,236,8,19,space,2.7335182500537485,None,930,1,[6.87037895899266],[6.870383583940566],19,8,236,8,3825.669183165999,,3825.660485624918,3825.669183165999,3826.6528344999533,3826.6528344999533,3826.6583549159113,3829.395056124893,space,2.7335182500537485,None,3829.3964345830027,3830.1028741666273,3830.4066971659195,3830.391906999983,3830.3937410409562,3830.4066971659195,3830.4066971659195,3830.4066971659195,3837.2773794579552,930,1,[6.87037895899266],[6.870383583940566],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
0.7,1000,exp,237,9,19,space,0.7755127069540322,None,920,1,[4.420618708012626],[4.420623500016518],19,9,237,5,3837.2854219999863,,3837.2775919159176,3837.2854219999863,3838.2767860830063,3838.2767860830063,3838.2767860830063,3839.054377332912,space,0.7755127069540322,None,3839.055618290906,3839.7540670826024,3840.0567487908993,3840.041867416003,3840.0440264579374,3840.0567487908993,3840.0567487908993,3840.0567487908993,3844.4776684578974,920,1,[4.420618708012626],[4.420623500016518],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
0.4,400,unexp,238,10,19,space,1.2772865409497172,None,415,1,[4.4023659999947995],[4.402371041942388],19,10,238,1,3844.485426999978,,3844.477851124946,3844.485426999978,3845.4767938749865,3845.4767938749865,3845.4767938749865,3846.762032166007,space,1.2772865409497172,None,3846.7634186659707,3847.1699877075775,3847.4749427079223,3847.458845832967,3847.4609310409287,3847.4749427079223,3847.4749427079223,3847.4749427079223,3851.877611207892,415,1,[4.4023659999947995],[4.402371041942388],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
0.1,1000,exp,239,11,19,space,1.5637656239559874,None,910,1,[4.564827458001673],[4.564831040916033],19,11,239,3,3851.8861634159693,,3851.877831999911,3851.8861634159693,3852.8873402499594,3852.8873402499594,3852.8873402499594,3854.4548223329475,space,1.5637656239559874,None,3854.4561958329286,3854.559857916615,3854.8627977079013,3854.8489520410076,3854.850654082955,3854.8627977079013,3854.8627977079013,3854.8627977079013,3859.4279093329096,910,1,[4.564827458001673],[4.564831040916033],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
0.1,1000,exp,240,0,20,space,0.5020123329013586,None,900,1,[1.9365602909820154],[1.936564457952045],20,0,240,6,3859.435693707899,,3859.428112332942,3859.435693707899,3860.4199400409125,3860.4199400409125,3860.4271099579055,3860.9284061249346,space,0.5020123329013586,None,3860.928771790932,3861.036783541615,3861.341185749974,3861.3255572079215,3861.3276617910014,3861.341185749974,3861.341185749974,3861.341185749974,3863.2780348329106,900,1,[1.9365602909820154],[1.936564457952045],P1.1,001,2025-11-10_13h18.04.604,Intentional Binding exp,,2025.1.1,119.44737677240607,2025-11-10 13h18.16.770298 +0530,
