thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
13,0,13,up,1,0.5378031240252312,None,0,13,0,13,0,27.026069874991663,,27.017071290989406,27.026069874991663,28.014882791001583,28.020923457981553,28.55665458299336,up,1,0.5378031240252312,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
14,0,14,up,1,0.42387466598302126,None,0,14,0,14,0,28.56713591600419,,28.55712741598836,28.56713591600419,29.555951624992304,29.564420957991388,29.98330745799467,up,1,0.42387466598302126,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
15,0,15,down,0,0.5410912490042392,None,0,15,0,15,0,29.993358165986137,,29.983869582996704,29.993358165986137,30.98140979098389,30.98734016600065,31.53387300000759,down,0,0.5410912490042392,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
16,0,16,down,1,0.5040463329933118,None,-5,16,0,16,0,31.543446541007143,,31.534536958002718,31.543446541007143,32.53156050000689,32.5379972079827,33.03850500000408,down,1,0.5040463329933118,None,-5,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
17,0,17,down,1,0.5062033740105107,None,4,17,0,17,0,33.047969915991416,,33.039018332987325,33.047969915991416,34.03148400000646,34.03748866598471,34.55040529099642,down,1,0.5062033740105107,None,4,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
18,0,18,down,0,0.4808246659813449,None,0,18,0,18,0,34.56015891599236,,34.550926875002915,34.56015891599236,35.54816158299218,35.55491841598996,36.034184874995844,down,0,0.4808246659813449,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
19,0,19,down,0,0.6231578750011977,None,0,19,0,19,0,36.04616245799116,,36.034924457984744,36.04616245799116,37.03161487498437,37.03750149998814,37.65697412498412,down,0,0.6231578750011977,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
20,0,20,up,1,0.7698187080095522,None,0,20,0,20,0,37.66736570801004,,37.657602666004095,37.66736570801004,38.65593195799738,38.664769249997335,39.43429945799289,up,1,0.7698187080095522,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
21,0,21,down,1,0.7761569989961572,None,2,21,0,21,0,39.44409462498152,,39.43519241598551,39.44409462498152,40.431628040998476,40.437052916007815,41.217802833009046,down,1,0.7761569989961572,None,2,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
22,0,22,down,0,0.5995669580006506,None,0,22,0,22,0,41.22822545800591,,41.218594000005396,41.22822545800591,42.215149666008074,42.22149054100737,42.817301875009434,down,0,0.5995669580006506,None,0,vinni,001,2025-09-10_15h06.11.089,Orientation discrimination task exp,,2025.1.1,119.78827421683415,2025-09-10 15h06.19.015995 +0530,
