prime_type,prime,target_full,target_fragment,SOA,correct_response,delay,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,mouse.started,prime_text.started,submit_text.started,textbox.started,polygon.stopped,fragment_text.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,trials.textbox.text,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
related ,shopping,shop,s__p,0.1,shop,0.6,67,67,0,[np.float64(-0.051111111111111114)],[np.float64(-0.4077777777777778)],[1],[0],[0],[3.5078612079378217],['submit_text'],soap,0,67,67,32,810.1880204579793,,810.1816085411701,810.1880204579793,0.0036853752098977566,810.6767258751206,810.6767258751206,810.6767258751206,810.6892666660715,810.7769326660782,813.6900940409396,[np.float64(-0.051111111111111114)],[np.float64(-0.4077777777777778)],[1],[0],[0],[3.5078612079378217],['submit_text'],soap,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
unrelated ,register,flute,fl__e,0.4,flute,0.9,68,68,0,[np.float64(-0.051111111111111114)],[np.float64(-0.4077777777777778)],[1],[0],[0],[16.901856458047405],['submit_text'],flare,0,68,68,92,813.700191500131,,813.6944039161317,813.700191500131,0.0041965830605477095,814.1946864160709,814.1946864160709,814.1946864160709,814.2067657911684,814.5867158330511,830.5968237081543,[np.float64(-0.051111111111111114)],[np.float64(-0.4077777777777778)],[1],[0],[0],[16.901856458047405],['submit_text'],flare,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
unrelated ,towel,grass,g_a_s,0.4,grass,0.9,69,69,0,[np.float64(-0.051111111111111114)],[np.float64(-0.4077777777777778)],[1],[0],[0],[24.038838208885863],['submit_text'],grass,0,69,69,102,830.6109607079998,,830.6012346250936,830.6109607079998,0.004273999948054552,831.1003827911336,831.1003827911336,831.1003827911336,831.1144103331026,831.5041810411494,854.6407274999656,[np.float64(-0.051111111111111114)],[np.float64(-0.4077777777777778)],[1],[0],[0],[24.038838208885863],['submit_text'],grass,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
related ,snow,winter,w_n__r,0.1,winter,0.6,70,70,0,[np.float64(-0.051111111111111114)],[np.float64(-0.4077777777777778)],[1],[0],[0],[3.5183566249907017],['submit_text'],winner,0,70,70,10,854.6501202499494,,854.6447029160336,854.6501202499494,0.0038499999791383743,855.1447185410652,855.1447185410652,855.1447185410652,855.1581197080668,855.2372465410735,858.163721333025,[np.float64(-0.051111111111111114)],[np.float64(-0.4077777777777778)],[1],[0],[0],[3.5183566249907017],['submit_text'],winner,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
unrelated ,missile,roses,r_s_s,0.4,roses,0.9,71,71,0,[np.float64(-0.051111111111111114)],[np.float64(-0.4077777777777778)],[1],[0],[0],[10.619280999992043],['submit_text'],roses,0,71,71,84,858.1751281660981,,858.1680720830336,858.1751281660981,0.0042232919950038195,858.6691980001051,858.6691980001051,858.6691980001051,858.6819978749845,859.063707082998,868.787899750052,[np.float64(-0.051111111111111114)],[np.float64(-0.4077777777777778)],[1],[0],[0],[10.619280999992043],['submit_text'],roses,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
unrelated ,skirt,earbuds,e_r_u_s,0.1,earbuds,0.6,72,72,0,[np.float64(-0.051111111111111114)],[np.float64(-0.4077777777777778)],[1],[0],[0],[33.315650375094265],['submit_text'],e,0,72,72,111,868.8116736251395,,868.7908855830319,868.8116736251395,0.00290545797906816,869.2944277911447,869.2944277911447,869.2944277911447,869.3066466250457,869.3814579581376,902.107075833017,[np.float64(-0.051111111111111114)],[np.float64(-0.4077777777777778)],[1],[0],[0],[33.315650375094265],['submit_text'],e,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
unrelated ,shirt,aquatic ,a_u_t_c,0.4,aquatic,0.9,73,73,0,[np.float64(-0.051111111111111114)],[np.float64(-0.4077777777777778)],[1],[0],[0],[12.703255667118356],['submit_text'],aquatic,0,73,73,78,902.1165127081331,,902.1106724999845,902.1165127081331,0.0035072918981313705,902.6120402910747,902.6120402910747,902.6120402910747,902.6248985831626,903.0052692911122,914.8143839580007,[np.float64(-0.051111111111111114)],[np.float64(-0.4077777777777778)],[1],[0],[0],[12.703255667118356],['submit_text'],aquatic,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
related ,camera,picture,p_c_u_e,0.4,picture,0.9,74,74,0,[np.float64(-0.051111111111111114)],[np.float64(-0.4077777777777778)],[1],[0],[0],[4.5840491249691695],['submit_text'],picture,0,74,74,41,914.8231313750148,,914.8169635410886,914.8231313750148,0.0024825409054756165,915.309352332959,915.309352332959,915.309352332959,915.3206944579724,915.7071767500602,919.401563041145,[np.float64(-0.051111111111111114)],[np.float64(-0.4077777777777778)],[1],[0],[0],[4.5840491249691695],['submit_text'],picture,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
related ,mall,store,s_o_e,0.4,store,0.9,75,75,0,[np.float64(-0.051111111111111114)],[np.float64(-0.4077777777777778)],[1],[0],[0],[5.019023166038096],['submit_text'],store,0,75,75,31,919.4137323331088,,919.4056605829392,919.4137323331088,0.003961999900639057,919.9010073330719,919.9010073330719,919.9010073330719,919.9133153751027,920.3133764159866,924.4253071660642,[np.float64(-0.051111111111111114)],[np.float64(-0.4077777777777778)],[1],[0],[0],[5.019023166038096],['submit_text'],store,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
related ,map,atlas,a_l_s,0.4,atlas,0.9,76,76,0,[np.float64(-0.051111111111111114)],[np.float64(-0.4077777777777778)],[1],[0],[0],[4.302547458093613],['submit_text'],atlas,0,76,76,59,924.4348654160276,,924.4292001661379,924.4348654160276,0.003786874935030937,924.929831958143,924.929831958143,924.929831958143,924.9420114581008,925.3300500831101,928.7324122081045,[np.float64(-0.051111111111111114)],[np.float64(-0.4077777777777778)],[1],[0],[0],[4.302547458093613],['submit_text'],atlas,p1,001,2025-11-14_10h49.43.539,untitled,,2025.1.1,119.97468472975699,2025-11-14 10h49.50.254732 +0530,
