thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_dist,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
39,0,39,[np.float64(-0.2222222222222222)],[np.float64(-0.18)],[1],[0],[0],[2.4059899169951677],['target'],39,0,39,0,90.82943858299404,,5,90.81877795798937,90.82943858299404,90.82943858299404,0.011611208989052102,93.22486066698912,[np.float64(-0.2222222222222222)],[np.float64(-0.18)],[1],[0],[0],[2.4059899169951677],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
40,0,40,[np.float64(-0.2222222222222222)],[np.float64(-0.41)],[1],[0],[0],[1.5176666250044946],[None],40,0,40,0,93.25158516698866,,5,93.24040325000533,93.25158516698866,93.25158516698866,0.015331208007410169,94.75816475000465,[np.float64(-0.2222222222222222)],[np.float64(-0.41)],[1],[0],[0],[1.5176666250044946],[None],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
41,0,41,[np.float64(0.32666666666666666)],[np.float64(0.21444444444444444)],[1],[0],[0],[2.001433832978364],['target'],41,0,41,0,94.78507045799051,,5,94.77345649999916,94.78507045799051,94.78507045799051,0.015061332989716902,96.77497495798161,[np.float64(0.32666666666666666)],[np.float64(0.21444444444444444)],[1],[0],[0],[2.001433832978364],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
42,0,42,[np.float64(0.16333333333333333)],[np.float64(-0.21555555555555556)],[1],[0],[0],[2.115257625002414],[None],42,0,42,0,96.8037337079877,,5,96.79180595799698,96.8037337079877,96.8037337079877,0.016624000010779127,98.9071286249964,[np.float64(0.16333333333333333)],[np.float64(-0.21555555555555556)],[1],[0],[0],[2.115257625002414],[None],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
43,0,43,[np.float64(0.3477777777777778)],[np.float64(-0.3333333333333333)],[1],[0],[0],[1.0709403330110945],[None],43,0,43,0,98.93387149999035,,5,98.92251262499485,98.93387149999035,98.93387149999035,0.015213542006677017,99.99354075000156,[np.float64(0.3477777777777778)],[np.float64(-0.3333333333333333)],[1],[0],[0],[1.0709403330110945],[None],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
44,0,44,[np.float64(0.30777777777777776)],[np.float64(0.09888888888888889)],[1],[0],[0],[1.7634515840036329],['target'],44,0,44,0,100.02253395799198,,5,100.01090108300559,100.02253395799198,100.02253395799198,0.01715541598969139,101.77441116698901,[np.float64(0.30777777777777776)],[np.float64(0.09888888888888889)],[1],[0],[0],[1.7634515840036329],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
45,0,45,[np.float64(0.2877777777777778)],[np.float64(0.10222222222222223)],[1],[0],[0],[2.135601707996102],['target'],45,0,45,0,101.80132220798987,,5,101.78953541698866,101.80132220798987,101.80132220798987,0.014952875004382804,103.92522579198703,[np.float64(0.2877777777777778)],[np.float64(0.10222222222222223)],[1],[0],[0],[2.135601707996102],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
46,0,46,[np.float64(-0.20777777777777778)],[np.float64(-0.22777777777777777)],[1],[0],[0],[2.3201094169926364],['target'],46,0,46,0,103.96857383300085,,10,103.95429641698138,103.96857383300085,103.96857383300085,0.028856332995928824,106.27447025000583,[np.float64(-0.20777777777777778)],[np.float64(-0.22777777777777777)],[1],[0],[0],[2.3201094169926364],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
47,0,47,[np.float64(-0.36333333333333334)],[np.float64(-0.4633333333333333)],[1],[0],[0],[1.6244937500159722],[None],47,0,47,0,106.29606758299633,,5,106.28599116700934,106.29606758299633,106.29606758299633,0.011363541998434812,107.91057895799167,[np.float64(-0.36333333333333334)],[np.float64(-0.4633333333333333)],[1],[0],[0],[1.6244937500159722],[None],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
48,0,48,[np.float64(0.14222222222222222)],[np.float64(-0.1688888888888889)],[1],[0],[0],[1.6334452499868348],['target'],48,0,48,0,107.95568854198791,,10,107.94097562498064,107.95568854198791,107.95568854198791,0.030187458003638312,109.57449262498994,[np.float64(0.14222222222222222)],[np.float64(-0.1688888888888889)],[1],[0],[0],[1.6334452499868348],['target'],p4,001,2025-09-30_17h41.41.026,Experiment,,2025.1.1,119.75785011147751,2025-09-30 17h41.55.589986 +0530,
